Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marine Parade,2024,2,10,6.6,4.8,5.2,6.2,-,-,-,-,-
Marine Parade,2024,2,11,8.4,5.2,7.4,8.2,-,-,-,-,-
Marine Parade,2024,2,12,9.2,3.2,3.6,7.6,-,-,-,-,-
Marine Parade,2024,2,13,17.4,16.4,16.6,16.8,-,-,-,-,-
Marine Parade,2024,2,14,0.6,0.4,0.4,0.4,-,-,-,-,-
Marine Parade,2024,2,15,4.8,3.2,3.2,3.6,-,-,-,-,-
Marine Parade,2024,2,16,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,17,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,18,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,19,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,20,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,21,17.6,17.2,17.6,17.6,-,-,-,-,-
Marine Parade,2024,2,22,1,0.8,1,1,-,-,-,-,-
Marine Parade,2024,2,23,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,24,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,25,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,26,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,27,4.2,3,3,3.8,-,-,-,-,-
Marine Parade,2024,2,28,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,29,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,1,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,2,25.2,9.6,10.8,16.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,3,60.8,36.8,50.6,58.4,-,-,-,-,-
Choa Chu Kang (Central),2024,2,4,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,5,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,6,0.6,0.6,0.6,0.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,7,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,8,10.8,6.2,9.4,10.8,-,-,-,-,-
Choa Chu Kang (Central),2024,2,9,16.4,13,15.4,16.4,-,-,-,-,-
Choa Chu Kang (Central),2024,2,10,10,6.8,9.2,9.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,11,0,0.4,0.4,7.4,-,-,-,-,-
Choa Chu Kang (Central),2024,2,12,6,3.6,3.6,3.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,13,11.4,5.8,7.8,8.4,-,-,-,-,-
Choa Chu Kang (Central),2024,2,14,15.2,8,8,8.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,15,2.6,1,1,2,-,-,-,-,-
Choa Chu Kang (Central),2024,2,16,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,17,2.6,2.2,2.6,2.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,18,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,19,2.8,2,2.4,2.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,20,3,2.4,2.6,2.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,21,6.4,6.4,6.4,6.4,-,-,-,-,-
Choa Chu Kang (Central),2024,2,22,3.8,1.6,2.2,3.6,-,-,-,-,-
Choa Chu Kang (Central),2024,2,23,7.4,5.2,6.2,7.2,-,-,-,-,-
Choa Chu Kang (Central),2024,2,24,1.6,1.4,1.4,1.4,-,-,-,-,-
Choa Chu Kang (Central),2024,2,25,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,26,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,27,1.2,1.2,1.2,1.2,-,-,-,-,-
Choa Chu Kang (Central),2024,2,28,0,0,0,0,-,-,-,-,-
Choa Chu Kang (Central),2024,2,29,0,0,0,0,-,-,-,-,-
Tuas South,2024,2,1,5,5,5,5,    28.3,    33.3,    25.4,     4.3,    25.9
Tuas South,2024,2,2,49.8,33.6,38.8,46.2,    27.2,    32.2,    24.5,     4.2,    30.9
Tuas South,2024,2,3,8.4,7,7.2,8,    27.6,    33.1,    25.2,     4.7,    22.6
Tuas South,2024,2,4,0,0,0,0,    28.4,    32.2,    25.9,     5.8,    20.6
Tuas South,2024,2,5,0,0,0,0,    28.7,    33.7,    25.9,     5.5,    21.7
Tuas South,2024,2,6,0,0,0,0,    28.7,    33.1,    26.2,     5.3,    19.1
Tuas South,2024,2,7,30.8,25.4,28.8,30.4,    27.6,    33.5,    23.9,     4.4,    32.4
Tuas South,2024,2,8,0,0,0,0,    28.6,    32.4,    26.1,     4.1,    19.8
Tuas South,2024,2,9,8,6.6,7.6,8,    27.8,    31.1,    26.2,     4.0,    20.6
Tuas South,2024,2,10,5,3.8,4.8,5,    28.1,    34.0,    24.2,     6.1,    22.0
Tuas South,2024,2,11,0.2,0.2,2,5,    28.4,    33.4,    25.1,     5.6,    23.3
Tuas South,2024,2,12,3.8,3.8,3.8,3.8,    27.2,    30.8,    25.8,     6.0,    25.6
Tuas South,2024,2,13,6,3.8,3.8,4.8,    27.1,    30.1,    25.2,     5.0,    23.3
Tuas South,2024,2,14,16.4,7.2,7.6,8,    27.1,    30.7,    25.4,     3.4,    24.1
Tuas South,2024,2,15,1.2,0.6,0.6,0.6,    27.5,    29.9,    26.2,     4.7,    22.4
Tuas South,2024,2,16,0,0,0,0,    28.4,    31.9,    26.6,     5.1,    26.3
Tuas South,2024,2,17,0,0,0,0,    28.2,    32.8,    25.6,     4.5,    27.0
Tuas South,2024,2,18,0.4,0.2,0.2,0.2,    28.2,    32.6,    26.0,     3.8,    21.7
Tuas South,2024,2,19,1.6,1,1.2,1.4,    28.3,    31.7,    26.2,     3.9,    19.4
Tuas South,2024,2,20,0,0,0,0,    28.8,    32.7,    26.3,     4.4,    23.0
Tuas South,2024,2,21,7.6,7.6,7.6,7.6,    28.4,    33.0,    25.1,     4.4,    20.9
Tuas South,2024,2,22,3.8,3.8,3.8,3.8,    28.5,    31.9,    26.2,     4.2,    22.0
Tuas South,2024,2,23,0.6,0.4,0.4,0.4,    28.4,    32.8,    26.5,     3.8,    18.7
Tuas South,2024,2,24,0.4,0.4,0.4,0.4,    28.4,    31.4,    26.5,     3.7,    19.1
Tuas South,2024,2,25,0,0,0,0,    29.4,    34.6,    26.1,     4.9,    20.9
Tuas South,2024,2,26,0,0,0,0,    29.6,    33.4,    26.8,     5.0,    21.3
Tuas South,2024,2,27,0,0,0,0,    28.3,    30.7,    27.1,     4.1,    25.9
Tuas South,2024,2,28,0,0,0,0,    29.3,    33.9,    26.6,     4.7,    23.0
Tuas South,2024,2,29,0,0,0,0,    29.1,    34.7,    26.1,     5.8,    22.0
Pasir Panjang,2024,2,1,0,0,0,0,    28.5,    32.7,    26.5,    15.7,    44.6
Pasir Panjang,2024,2,2,7.2,6,6.2,6.8,    27.7,    32.8,    25.1,    15.1,    48.2
Pasir Panjang,2024,2,3,42.2,28.2,34,35.6,    27.4,    33.0,    22.4,    17.3,    64.4
Pasir Panjang,2024,2,4,0,0,0,0,    28.3,    32.6,    25.9,    17.7,    43.2
Pasir Panjang,2024,2,5,7,3.8,7,7,    28.5,    34.3,    26.1,    16.2,    45.4
Pasir Panjang,2024,2,6,0,0,0,0,    28.5,    33.3,    26.4,    16.4,    44.3
Pasir Panjang,2024,2,7,11.4,11,11.4,11.4,    28.2,    33.2,    24.8,    17.2,    65.9
Pasir Panjang,2024,2,8,1,1,1,1,    28.3,    32.9,    26.5,    16.7,    42.4
Pasir Panjang,2024,2,9,34.8,20.2,26.4,27.6,    27.5,    31.5,    23.9,    17.3,    55.7
Pasir Panjang,2024,2,10,8.6,8,8.6,8.6,    28.0,    32.1,    24.5,    20.4,    49.3
Pasir Panjang,2024,2,11,0.8,0.8,6.2,8.6,    28.2,    32.4,    24.8,    21.2,    59.4
Pasir Panjang,2024,2,12,2.4,1.2,1.2,2.2,    27.1,    29.6,    25.2,    21.4,    58.0
Pasir Panjang,2024,2,13,4.6,2.8,3.2,3.4,    27.2,    29.4,    25.0,    22.5,    59.8
Pasir Panjang,2024,2,14,1.6,0.8,0.8,0.8,    27.8,    31.9,    25.6,    19.2,    46.5
Pasir Panjang,2024,2,15,4.6,3.8,4,4.6,    27.4,    30.0,    25.8,    21.1,    55.0
Pasir Panjang,2024,2,16,0,0,0,0,    28.3,    32.0,    26.7,    23.0,    58.7
Pasir Panjang,2024,2,17,0,0,0,0,    28.1,    31.6,    26.3,    20.8,    48.2
Pasir Panjang,2024,2,18,0,0,0,0,    28.7,    32.8,    26.2,    19.3,    46.5
Pasir Panjang,2024,2,19,0,0,0,0,    28.7,    32.8,    26.4,    18.7,    46.9
Pasir Panjang,2024,2,20,0,0,0,0,    28.8,    33.0,    26.6,    18.3,    44.3
Pasir Panjang,2024,2,21,0,0,0,0,    28.7,    33.1,    26.7,    18.8,    43.5
Pasir Panjang,2024,2,22,0.2,0.2,0.2,0.2,    28.4,    32.1,    26.6,    19.1,    44.6
Pasir Panjang,2024,2,23,14.6,10.6,13,14.6,    28.1,    32.6,    24.9,    20.6,    50.7
Pasir Panjang,2024,2,24,0,0,0,0,    28.5,    31.7,    26.6,    19.5,    48.2
Pasir Panjang,2024,2,25,0,0,0,0,    29.1,    33.7,    26.3,    22.1,    50.0
Pasir Panjang,2024,2,26,0,0,0,0,    29.0,    33.2,    26.8,    20.3,    54.1
Pasir Panjang,2024,2,27,3.6,3.2,3.2,3.6,    28.2,    30.1,    27.1,    20.0,    50.4
Pasir Panjang,2024,2,28,0,0,0,0,    28.9,    32.5,    26.9,    20.8,    52.6
Pasir Panjang,2024,2,29,0,0,0,0,    29.5,    34.0,    26.6,    20.7,    51.9
Jurong Island,2024,2,1,0,0,0,0,    28.6,    32.7,    26.5,     6.5,    28.9
Jurong Island,2024,2,2,48.8,30.4,33.8,43.6,    27.4,    33.4,    24.2,     5.7,    28.2
Jurong Island,2024,2,3,1.4,0.6,1.2,1.4,    28.1,    33.4,    24.6,     6.6,    32.0
Jurong Island,2024,2,4,0,0,0,0,    28.6,    33.4,    25.6,     6.0,    26.7
Jurong Island,2024,2,5,0,0,0,0,    29.0,    34.4,    26.0,     6.3,    26.7
Jurong Island,2024,2,6,0,0,0,0,    28.6,    33.5,    25.9,     5.9,    24.4
Jurong Island,2024,2,7,27.6,22.8,27.6,27.6,    28.2,    34.5,    24.1,     5.5,    30.6
Jurong Island,2024,2,8,0,0,0,0,    28.6,    32.8,    26.3,     6.2,    29.4
Jurong Island,2024,2,9,21,13,20.4,20.8,    27.9,    32.2,    24.6,     6.6,    27.8
Jurong Island,2024,2,10,4.4,2.4,3.8,4.4,    28.3,    32.8,    24.3,     6.2,    38.2
Jurong Island,2024,2,11,0.2,0.6,0.8,4.4,    28.7,    32.9,    25.0,     6.0,    37.0
Jurong Island,2024,2,12,2.8,2.2,2.2,2.2,    27.3,    31.1,    24.8,     7.0,    41.5
Jurong Island,2024,2,13,5.8,2.2,2.6,3,    27.2,    30.7,    25.1,     6.6,    36.3
Jurong Island,2024,2,14,8.4,5.8,5.8,6,    27.7,    31.2,    25.1,     6.0,    42.4
Jurong Island,2024,2,15,1.4,0.8,1,1,    27.6,    29.4,    26.3,     5.7,    36.3
Jurong Island,2024,2,16,0.2,0.2,0.2,0.2,    28.6,    32.7,    26.6,     6.8,    41.1
Jurong Island,2024,2,17,0,0,0,0,    28.2,    32.3,    26.3,     6.1,    38.2
Jurong Island,2024,2,18,1.8,1,1.6,1.8,    28.2,    32.2,    26.5,     5.6,    24.8
Jurong Island,2024,2,19,13,6.6,11,11,    27.7,    31.3,    25.3,     5.6,    46.5
Jurong Island,2024,2,20,0,0,0,0,    28.9,    33.4,    26.5,     7.3,    29.8
Jurong Island,2024,2,21,0.2,0.2,0.2,0.2,    28.7,    32.8,    27.0,     6.4,    25.6
Jurong Island,2024,2,22,0.4,0.4,0.4,0.4,    28.8,    32.3,    27.0,     7.0,    28.5
Jurong Island,2024,2,23,17.8,11,16,17.8,    28.2,    32.5,    24.6,     7.0,    28.5
Jurong Island,2024,2,24,1,1,1,1,    28.5,    31.0,    26.8,     6.0,    29.1
Jurong Island,2024,2,25,0,0,0,0,    29.4,    34.2,    26.5,     7.1,    37.4
Jurong Island,2024,2,26,0,0,0,0,    29.2,    33.3,    27.0,     7.8,    43.5
Jurong Island,2024,2,27,0.2,0.2,0.2,0.2,    28.4,    30.7,    27.4,     6.5,    34.3
Jurong Island,2024,2,28,0,0,0,0,    29.3,    33.7,    27.0,     7.2,    35.9
Jurong Island,2024,2,29,0,0,0,0,    29.9,    35.6,    26.5,     6.2,    40.0
Nicoll Highway,2024,2,1,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,2,5.2,3.2,5,5.2,-,-,-,-,-
Nicoll Highway,2024,2,3,20.6,20.2,20.2,20.2,-,-,-,-,-
Nicoll Highway,2024,2,4,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,5,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,6,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,7,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,8,0.8,0.4,0.4,0.8,-,-,-,-,-
Nicoll Highway,2024,2,9,21.4,16.6,17.2,21.4,-,-,-,-,-
Nicoll Highway,2024,2,10,13,6.2,8.2,11.4,-,-,-,-,-
Nicoll Highway,2024,2,11,7.2,6,7,8.4,-,-,-,-,-
Nicoll Highway,2024,2,12,5.8,1.8,3.2,7,-,-,-,-,-
Nicoll Highway,2024,2,13,7.8,5.8,6.2,6.2,-,-,-,-,-
Nicoll Highway,2024,2,14,0.2,0.2,0.2,0.2,-,-,-,-,-
Nicoll Highway,2024,2,15,4.8,3.4,3.4,3.8,-,-,-,-,-
Nicoll Highway,2024,2,16,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,17,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,18,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,19,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,20,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,21,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,22,1,1,1,1,-,-,-,-,-
Nicoll Highway,2024,2,23,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,24,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,25,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,26,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,27,0.4,0.4,0.4,0.4,-,-,-,-,-
Nicoll Highway,2024,2,28,0,0,0,0,-,-,-,-,-
Nicoll Highway,2024,2,29,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,1,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,2,18.6,6.2,11,17,-,-,-,-,-
Botanic Garden,2024,2,3,12.4,9.4,9.8,12,-,-,-,-,-
Botanic Garden,2024,2,4,0.2,0.2,0.2,0.2,-,-,-,-,-
Botanic Garden,2024,2,5,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,6,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,7,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,8,1.4,1.4,1.4,1.4,-,-,-,-,-
Botanic Garden,2024,2,9,41.4,23.8,38.2,41.4,-,-,-,-,-
Botanic Garden,2024,2,10,31.8,27.4,30.2,31.6,-,-,-,-,-
Botanic Garden,2024,2,11,2.4,1.4,3.2,30.4,-,-,-,-,-
Botanic Garden,2024,2,12,3.6,2.4,2.6,3.4,-,-,-,-,-
Botanic Garden,2024,2,13,14.2,9.6,10.6,12.6,-,-,-,-,-
Botanic Garden,2024,2,14,1.2,0.6,0.6,0.6,-,-,-,-,-
Botanic Garden,2024,2,15,7,5.6,5.6,6.6,-,-,-,-,-
Botanic Garden,2024,2,16,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,17,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,18,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,19,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,20,8.6,6,8.4,8.4,-,-,-,-,-
Botanic Garden,2024,2,21,0.4,0.4,0.4,0.4,-,-,-,-,-
Botanic Garden,2024,2,22,29.2,21.6,27.6,29.2,-,-,-,-,-
Botanic Garden,2024,2,23,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,24,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,25,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,26,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,27,1.2,0.6,0.8,1,-,-,-,-,-
Botanic Garden,2024,2,28,0,0,0,0,-,-,-,-,-
Botanic Garden,2024,2,29,0,0,0,0,-,-,-,-,-
Choa Chu Kang (South),2024,2,1,0,0,0,0,    28.1,    32.6,    26.2,     9.9,    29.1
Choa Chu Kang (South),2024,2,2,40,20.6,27.8,34,    27.3,    33.3,    24.9,     7.0,    33.2
Choa Chu Kang (South),2024,2,3,39,34,37.4,39,    27.6,    33.6,    24.2,     7.7,    28.5
Choa Chu Kang (South),2024,2,4,0.2,0.2,0.2,0.2,    28.1,    33.6,    24.8,     5.7,    22.6
Choa Chu Kang (South),2024,2,5,1.4,1.4,1.4,1.4,    28.4,    34.5,    24.9,     7.6,    30.2
Choa Chu Kang (South),2024,2,6,0,0,0,0,    28.4,    33.4,    25.0,     5.8,    23.7
Choa Chu Kang (South),2024,2,7,1,0.8,1,1,    28.0,    32.9,    25.6,     6.7,    29.1
Choa Chu Kang (South),2024,2,8,4.4,3.2,4.4,4.4,    28.1,    34.1,    25.6,     6.1,    26.7
Choa Chu Kang (South),2024,2,9,11.2,5.6,7.2,10.6,    27.6,    33.4,    25.3,     7.2,    24.4
Choa Chu Kang (South),2024,2,10,11.6,10.6,11.4,11.4,    27.3,    32.1,    23.8,     9.3,    42.4
Choa Chu Kang (South),2024,2,11,0,0.2,0.2,10.8,    27.7,    31.8,    24.9,     8.8,    38.9
Choa Chu Kang (South),2024,2,12,7.4,5.4,5.4,5.4,    26.8,    30.6,    24.6,     8.2,    38.5
Choa Chu Kang (South),2024,2,13,8.2,4.2,5.8,6.2,    26.5,    29.4,    24.7,     8.8,    46.1
Choa Chu Kang (South),2024,2,14,15.4,7.8,7.8,8,    27.2,    31.7,    24.9,     8.6,    36.7
Choa Chu Kang (South),2024,2,15,2.2,1,1,2,    26.9,    29.7,    25.7,     8.5,    33.9
Choa Chu Kang (South),2024,2,16,0,0,0,0,    27.9,    31.5,    26.0,    12.0,    42.0
Choa Chu Kang (South),2024,2,17,1.4,1.4,1.4,1.4,    27.3,    31.5,    24.8,     8.6,    35.2
Choa Chu Kang (South),2024,2,18,2.6,2.6,2.6,2.6,    28.1,    32.4,    25.6,     8.1,    25.6
Choa Chu Kang (South),2024,2,19,0.2,0.2,0.2,0.2,    28.0,    32.6,    25.7,     8.1,    27.8
Choa Chu Kang (South),2024,2,20,1,0.8,0.8,0.8,    28.6,    34.3,    26.0,     7.8,    28.5
Choa Chu Kang (South),2024,2,21,12.2,12,12,12,    27.8,    33.5,    24.2,     6.3,    39.6
Choa Chu Kang (South),2024,2,22,17,14.2,16.2,16.8,    28.2,    33.8,    26.0,     5.7,    28.5
Choa Chu Kang (South),2024,2,23,30.6,17,22.6,30.6,    27.8,    32.9,    24.5,     8.6,    28.5
Choa Chu Kang (South),2024,2,24,0.2,0.2,0.2,0.2,    28.1,    31.7,    25.9,     8.9,    30.9
Choa Chu Kang (South),2024,2,25,0,0,0,0,    28.8,    33.3,    25.7,    11.0,    34.3
Choa Chu Kang (South),2024,2,26,0,0,0,0,    28.6,    32.3,    26.1,    12.1,    35.2
Choa Chu Kang (South),2024,2,27,0.6,0.4,0.4,0.4,    28.0,    30.3,    26.8,    10.5,    35.0
Choa Chu Kang (South),2024,2,28,0,0,0,0,    28.4,    32.2,    26.5,    11.9,    38.2
Choa Chu Kang (South),2024,2,29,0,0,0,0,    29.0,    34.1,    25.5,     8.9,    30.2
Whampoa,2024,2,1,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,2,22.8,21.2,22.8,22.8,-,-,-,-,-
Whampoa,2024,2,3,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,4,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,5,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,6,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,7,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,8,10.4,9.4,9.6,10.2,-,-,-,-,-
Whampoa,2024,2,9,19.4,11,14.2,19,-,-,-,-,-
Whampoa,2024,2,10,22.6,17.4,21.2,22.4,-,-,-,-,-
Whampoa,2024,2,11,5.6,4.6,5.6,21.6,-,-,-,-,-
Whampoa,2024,2,12,2.2,1,1.2,5.6,-,-,-,-,-
Whampoa,2024,2,13,10.6,7.2,7.4,8,-,-,-,-,-
Whampoa,2024,2,14,0.2,0.2,0.2,0.2,-,-,-,-,-
Whampoa,2024,2,15,9.4,7.8,7.8,8.2,-,-,-,-,-
Whampoa,2024,2,16,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,17,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,18,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,19,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,20,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,21,1.4,1.4,1.4,1.4,-,-,-,-,-
Whampoa,2024,2,22,8,6.8,6.8,7,-,-,-,-,-
Whampoa,2024,2,23,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,24,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,25,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,26,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,27,0.2,0.2,0.2,0.2,-,-,-,-,-
Whampoa,2024,2,28,0,0,0,0,-,-,-,-,-
Whampoa,2024,2,29,0,0,0,0,-,-,-,-,-
Changi,2024,2,1,0,0,0,0,    28.1,    31.9,    26.1,    17.2,    42.6
Changi,2024,2,2,0,0,0,0,    28.2,    31.5,    26.0,    16.0,    44.4
Changi,2024,2,3,0,0,0,0,    28.5,    32.6,    26.1,    15.5,    40.7
Changi,2024,2,4,0,0,0,0,    28.3,    32.7,    25.3,    14.7,    35.2
Changi,2024,2,5,0,0,0,0,    28.2,    32.7,    25.2,    14.9,    42.6
Changi,2024,2,6,10.6,6.4,10.4,10.6,    28.1,    32.9,    25.6,    12.6,    38.9
Changi,2024,2,7,0,0,0,0,    28.3,    32.6,    25.7,    14.1,    38.9
Changi,2024,2,8,0,0,0,0,    28.4,    33.1,    25.9,    12.9,    35.2
Changi,2024,2,9,0,0,0,0,    28.4,    32.6,    26.0,    13.7,    37.0
Changi,2024,2,10,5.4,2,3,4.6,    27.6,    32.3,    24.4,    15.4,    40.7
Changi,2024,2,11,16.2,7.2,11.2,15.8,    27.8,    31.8,    24.3,    17.2,    55.6
Changi,2024,2,12,14.2,5.4,9.4,10.8,    26.6,    30.2,    24.6,    14.9,    61.1
Changi,2024,2,13,4.4,1.8,2,2.2,    27.1,    30.1,    25.0,    17.0,    48.2
Changi,2024,2,14,2,1.2,1.2,1.6,    27.9,    31.7,    25.7,    16.5,    44.4
Changi,2024,2,15,6,5,5.2,5.2,    27.1,    30.6,    25.4,    15.7,    44.4
Changi,2024,2,16,0,0,0,0,    28.0,    31.8,    26.2,    18.2,    51.9
Changi,2024,2,17,0.2,0.2,0.2,0.2,    27.8,    31.4,    26.1,    14.9,    53.7
Changi,2024,2,18,0,0,0,0,    28.4,    32.3,    26.1,    15.4,    35.2
Changi,2024,2,19,0,0,0,0,    28.6,    32.5,    26.0,    15.2,    37.0
Changi,2024,2,20,0,0,0,0,    28.9,    33.0,    26.4,    14.9,    35.2
Changi,2024,2,21,0.2,0.2,0.2,0.2,    28.7,    33.4,    26.2,    13.3,    40.7
Changi,2024,2,22,0,0,0,0,    28.6,    32.2,    26.3,    12.1,    35.2
Changi,2024,2,23,0,0,0,0,    28.7,    32.3,    26.4,    16.3,    38.9
Changi,2024,2,24,0,0,0,0,    28.5,    31.9,    26.0,    16.6,    42.6
Changi,2024,2,25,0,0,0,0,    29.0,    33.2,    26.3,    17.2,    40.7
Changi,2024,2,26,0,0,0,0,    28.9,    32.9,    26.5,    20.5,    48.2
Changi,2024,2,27,1,1,1,1,    28.1,    30.9,    27.1,    14.9,    38.9
Changi,2024,2,28,0,0,0,0,    28.8,    32.6,    26.7,    19.8,    44.4
Changi,2024,2,29,0,0,0,0,    28.9,    33.4,    26.0,    17.7,    44.4
Seletar,2024,2,1,0,0,0,0,    28.0,    33.0,    25.9,    15.8,    38.9
Seletar,2024,2,2,0,0,0,0,    28.2,    32.8,    25.7,    14.8,    33.3
Seletar,2024,2,3,0,0,0,0,    28.4,    34.0,    25.6,    15.2,    35.2
Seletar,2024,2,4,0,0,0,0,    28.5,    33.3,    25.2,    10.7,    29.6
Seletar,2024,2,5,0,0,0,0,    28.4,    34.0,    24.8,    14.4,    37.0
Seletar,2024,2,6,52.6,43.8,52.4,52.6,    28.1,    33.7,    25.2,    10.0,    37.0
Seletar,2024,2,7,0,0,0,0,    28.2,    33.1,    25.6,    12.3,    33.3
Seletar,2024,2,8,0.8,0.8,0.8,0.8,    28.2,    33.7,    25.6,    10.1,    29.6
Seletar,2024,2,9,30.4,21,21.4,27,    27.4,    32.4,    25.1,    12.2,    40.7
Seletar,2024,2,10,9,7.6,8,8.8,    27.6,    32.6,    24.5,    12.9,    37.0
Seletar,2024,2,11,0.6,0.2,0.4,8.2,    27.9,    32.3,    25.3,    16.3,    46.3
Seletar,2024,2,12,5.2,4,4.2,5,    27.0,    29.7,    25.2,    15.2,    50.0
Seletar,2024,2,13,10.8,6,6,6.4,    26.8,    29.8,    24.6,    16.1,    44.4
Seletar,2024,2,14,8,2,2.4,2.8,    27.4,    32.3,    24.8,    14.4,    44.4
Seletar,2024,2,15,15.8,12.4,13.8,13.8,    27.0,    29.3,    25.5,    13.3,    44.4
Seletar,2024,2,16,0,0,0,0,    27.8,    32.1,    26.0,    18.1,    46.3
Seletar,2024,2,17,0,0,0,0,    27.8,    31.7,    25.4,    14.1,    42.6
Seletar,2024,2,18,0,0,0,0,    28.1,    32.1,    25.4,    13.9,    29.6
Seletar,2024,2,19,0,0,0,0,    28.6,    33.1,    25.8,    15.0,    33.3
Seletar,2024,2,20,0,0,0,0,    28.7,    33.4,    25.9,    13.1,    29.6
Seletar,2024,2,21,1.8,1.4,1.6,1.8,    28.0,    33.4,    25.9,    11.6,    33.3
Seletar,2024,2,22,0,0,0,0,    28.3,    33.2,    25.7,    10.6,    31.5
Seletar,2024,2,23,0,0,0,0,    28.4,    32.9,    25.8,    16.1,    35.2
Seletar,2024,2,24,0,0,0,0,    28.3,    31.9,    26.0,    15.2,    35.2
Seletar,2024,2,25,0,0,0,0,    28.7,    33.8,    25.4,    16.3,    40.7
Seletar,2024,2,26,0,0,0,0,    28.7,    33.6,    25.8,    17.9,    46.3
Seletar,2024,2,27,0,0,0,0,    28.2,    31.2,    26.6,    16.4,    38.9
Seletar,2024,2,28,0,0,0,0,    28.7,    32.9,    26.1,    19.5,    42.6
Seletar,2024,2,29,0,0,0,0,    29.1,    34.2,    25.7,    16.4,    37.0
Pasir Ris (West),2024,2,1,0,0,0,0,-,-,-,-,-
